Time,Throughput
3.0,0.268736
3.5,1.584
4.0,0.264
4.5,1.56
5.0,2.856
5.5,1.704
6.0,1.872
6.5,2.04
7.0,1.44
7.5,0.624
8.0,0.24
8.5,0.24
9.0,0.24
9.5,0.048
10.0,0.096
10.5,0.048
11.0,0.096
11.5,0.048
12.0,0.096
12.5,0.048
13.0,0.144
13.5,0.288
14.0,0.096
14.5,0.048
15.0,0.0
15.5,0.0
16.0,0.0
16.5,0.096
17.0,0.0
17.5,0.0
18.0,0.048
18.5,0.0
19.0,0.0
19.5,0.0
20.0,0.096
20.5,0.0
21.0,0.288
21.5,2.256
22.0,1.968
22.5,1.248
23.0,0.288
23.5,0.048
24.0,0.24
24.5,0.48
25.0,0.288
25.5,0.384
26.0,1.008
26.5,0.528
27.0,0.72
27.5,1.584
28.0,1.824
28.5,4.704
29.0,3.84
29.5,1.2
30.0,0.072
30.5,0.024
31.0,0.072
31.5,0.072
32.0,0.048
32.5,0.024
33.0,0.0
33.5,0.048
34.0,0.0
34.5,0.024
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.0
38.0,0.0
38.5,0.048
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.0
41.0,0.0
41.5,0.0
42.0,0.024
42.5,0.0
43.0,1.176
43.5,6.144
44.0,8.16
44.5,7.584
45.0,2.832
45.5,3.168
46.0,3.672
46.5,3.504
47.0,5.088
47.5,4.536
48.0,4.464
48.5,5.376
49.0,5.232
49.5,5.424
50.0,1.704
50.5,3.288
51.0,2.616
51.5,2.592
52.0,0.864
52.5,3.312
53.0,3.624
53.5,9.072
54.0,6.504
54.5,6.984
55.0,3.216
55.5,3.648
56.0,3.552
56.5,6.6
57.0,7.824
57.5,4.152
58.0,3.072
58.5,3.096
59.0,4.056
59.5,4.224
60.0,2.376
60.5,1.344
61.0,1.896
61.5,1.008
62.0,0.768
62.5,0.216
63.0,0.096
