Time,Throughput
3.0,0.001536
3.5,0.003072
4.0,0.004608
4.5,0.003072
5.0,0.00832
5.5,0.010496
6.0,0.02688
6.5,4.691008
7.0,6.23296
7.5,6.351872
8.0,6.347456
8.5,6.329856
9.0,6.646912
9.5,6.254976
10.0,6.395904
10.5,6.351872
11.0,6.210944
11.5,6.488384
12.0,6.144896
12.5,6.461952
13.0,6.347456
13.5,6.373888
14.0,6.259392
14.5,6.373888
15.0,6.281408
15.5,6.347456
16.0,6.237376
16.5,6.461952
17.0,6.373888
17.5,6.281408
18.0,6.23296
18.5,6.395904
19.0,4.96288
19.5,4.506752
20.0,9.05568
20.5,6.483968
21.0,6.351872
21.5,6.12288
22.0,6.5104
22.5,6.303424
23.0,6.391488
23.5,6.281408
24.0,2.049536
