Time,Throughput
3.0,0.151408
3.5,0.244304
4.0,0.186432
4.5,0.247344
5.0,0.211632
5.5,0.222592
6.0,0.108288
6.5,0.202016
7.0,0.10176
7.5,0.095168
8.0,0.0752
8.5,0.039744
9.0,0.034016
9.5,0.013328
10.0,0.018416
10.5,0.008112
11.0,0.019952
11.5,0.013952
12.0,0.007984
12.5,0.044272
13.0,0.071056
13.5,0.082768
14.0,0.072736
14.5,0.0856
15.0,0.041616
15.5,0.015872
16.0,0.019424
16.5,0.018416
17.0,0.0196
17.5,0.01912
18.0,0.033248
18.5,0.019216
19.0,0.01416
19.5,0.061744
20.0,0.093872
20.5,0.073648
21.0,0.07608
21.5,0.080928
22.0,0.080096
22.5,0.070928
23.0,0.084912
23.5,0.083792
24.0,0.088672
24.5,0.076192
25.0,0.07728
25.5,0.040176
26.0,0.0
26.5,0.183824
27.0,0.013232
27.5,0.008176
28.0,0.012672
28.5,0.008224
29.0,0.012896
29.5,0.013184
30.0,0.012848
30.5,0.011744
31.0,0.008192
31.5,0.013344
32.0,0.008256
32.5,0.012608
33.0,0.012176
33.5,0.007344
34.0,0.012688
34.5,0.00792
35.0,0.018832
35.5,0.008224
36.0,0.012656
36.5,0.011648
37.0,0.007216
37.5,0.012496
38.0,0.008288
38.5,0.014352
39.0,0.01408
39.5,0.0076
40.0,0.013232
40.5,0.007872
41.0,0.018208
41.5,0.00776
42.0,0.010736
42.5,0.011552
43.0,0.00776
43.5,0.012848
44.0,0.007904
44.5,0.0488
45.0,0.123776
45.5,0.081568
46.0,0.080848
46.5,0.07864
47.0,0.077216
47.5,0.078128
48.0,0.075328
48.5,0.082992
49.0,0.075552
49.5,0.075024
50.0,0.06992
50.5,0.08352
51.0,0.0804
51.5,0.083824
52.0,0.074512
52.5,0.077104
53.0,0.07744
53.5,0.084736
54.0,0.067376
54.5,0.077392
55.0,0.074592
55.5,0.083216
56.0,0.06992
56.5,0.084784
57.0,0.072112
57.5,0.07744
58.0,0.076576
58.5,0.082608
59.0,0.0712
59.5,0.083824
60.0,0.076992
60.5,0.082432
61.0,0.075568
61.5,0.072304
62.0,0.071488
62.5,0.084512
63.0,0.012176
