Time,Throughput
3.5,0.419008
4.0,1.627136
4.5,1.627136
5.0,1.652672
5.5,2.833984
6.0,3.262336
6.5,3.254272
7.0,3.252928
7.5,3.251584
8.0,3.251584
8.5,3.251584
9.0,3.251584
9.5,3.27456
10.0,3.251584
10.5,3.257088
11.0,3.251584
11.5,3.251584
12.0,3.251584
12.5,3.251584
13.0,3.205632
13.5,3.320512
14.0,3.228608
14.5,3.251584
15.0,3.251584
15.5,3.251584
16.0,3.251584
16.5,3.27456
17.0,3.234112
17.5,3.27456
18.0,3.251584
18.5,3.251584
19.0,3.251584
19.5,3.251584
20.0,3.251584
20.5,3.0448
21.0,3.251584
21.5,3.251584
22.0,3.27456
22.5,3.280064
23.0,3.251584
23.5,3.27456
24.0,3.251584
24.5,3.27456
25.0,3.251584
25.5,3.412416
26.0,3.228608
26.5,3.297536
27.0,3.27456
27.5,3.251584
28.0,3.27456
28.5,3.251584
29.0,3.27456
29.5,3.252928
30.0,3.280064
30.5,3.251584
31.0,3.27456
31.5,3.205632
32.0,3.320512
32.5,3.27456
33.0,3.251584
33.5,3.27456
34.0,3.205632
34.5,3.251584
35.0,3.27456
35.5,3.251584
36.0,3.27456
36.5,3.257088
37.0,3.228608
37.5,3.297536
38.0,3.27456
38.5,3.251584
39.0,3.27456
39.5,3.205632
40.0,3.297536
40.5,3.27456
41.0,3.251584
41.5,3.27456
42.0,3.15968
42.5,3.280064
43.0,3.228608
43.5,3.205632
44.0,3.320512
44.5,3.27456
45.0,3.251584
45.5,3.27456
46.0,3.251584
46.5,3.27456
47.0,3.251584
47.5,3.27456
48.0,3.205632
48.5,3.320512
49.0,3.27456
49.5,3.211136
50.0,3.251584
50.5,3.205632
51.0,3.27456
51.5,3.27456
52.0,3.251584
52.5,3.27456
53.0,3.228608
53.5,3.297536
54.0,3.228608
54.5,3.297536
55.0,3.27456
55.5,3.412416
56.0,3.251584
56.5,3.280064
57.0,3.251584
57.5,3.228608
58.0,3.27456
58.5,3.251584
59.0,3.27456
59.5,3.27456
60.0,3.251584
60.5,3.251584
61.0,3.27456
61.5,3.251584
62.0,3.27456
62.5,3.27456
63.0,3.257088
63.5,0.77568
