Time,Throughput
0.5,0.003232
1.0,0.00288
1.5,0.001216
2.0,0.001664
2.5,0.0
3.0,0.0
3.5,0.008944
4.0,0.001664
4.5,0.0
5.0,0.0
5.5,0.003232
6.0,0.0
6.5,0.003232
7.0,0.004368
7.5,0.0
8.0,0.0
8.5,0.005296
9.0,0.0
9.5,0.005296
10.0,0.007968
10.5,0.003232
11.0,0.0
11.5,0.003232
12.0,0.004368
12.5,0.0
13.0,0.004368
13.5,0.006784
14.0,0.0
14.5,0.005296
15.0,0.006032
15.5,0.003232
16.0,0.001552
16.5,0.003232
17.0,0.006416
17.5,0.0
18.0,0.00592
18.5,0.003232
19.0,0.004784
19.5,0.003232
20.0,0.001552
20.5,0.0
21.0,0.007968
21.5,0.006464
22.0,0.0
22.5,0.001616
23.0,0.001552
23.5,0.003232
24.0,0.001552
24.5,0.003232
25.0,0.001552
25.5,0.001616
26.0,0.001552
26.5,0.005296
27.0,0.0
27.5,0.001616
28.0,0.003104
28.5,0.004848
29.0,0.0
29.5,0.0
30.0,0.0
30.5,0.0
31.0,0.001552
31.5,0.0
32.0,0.009568
32.5,0.001616
33.0,0.001552
33.5,0.004848
34.0,0.0
34.5,0.001552
35.0,0.0
35.5,0.0
36.0,0.001616
36.5,0.0
37.0,0.0064
37.5,0.001616
38.0,0.001552
38.5,0.001616
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.001616
41.0,0.0
41.5,0.004784
42.0,0.0
42.5,0.0
43.0,0.001552
43.5,0.001616
44.0,0.0
44.5,0.0
45.0,0.001616
45.5,0.001616
46.0,0.001616
46.5,0.0
47.0,0.003168
47.5,0.0
48.0,0.0
48.5,0.0
49.0,0.0
49.5,0.0
50.0,0.0
50.5,0.001616
51.0,0.001616
51.5,0.0
52.0,0.001616
52.5,0.0
53.0,0.0
53.5,0.004848
54.0,0.0
54.5,0.0
55.0,0.003232
55.5,0.001616
56.0,0.001616
56.5,0.0
57.0,0.001616
57.5,0.0
58.0,0.0
58.5,0.0
59.0,0.0
59.5,0.003232
60.0,0.0
60.5,0.003264
61.0,0.001616
61.5,0.0
62.0,0.001616
