Time,Throughput
0.5,0.003232
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.0
4.0,0.0
4.5,0.0
5.0,0.004096
5.5,0.013024
6.0,0.004096
6.5,0.003232
7.0,0.0
7.5,0.004464
8.0,0.001664
8.5,0.0
9.0,0.0
9.5,0.00736
10.0,0.0
10.5,0.008464
11.0,0.0
11.5,0.003232
12.0,0.00368
12.5,0.004464
13.0,0.0
13.5,0.004464
14.0,0.0
14.5,0.0
15.0,0.0
15.5,0.004784
16.0,0.0
16.5,0.004784
17.0,0.003456
17.5,0.0
18.0,0.0
18.5,0.007696
19.0,0.0
19.5,0.003456
20.0,0.0
20.5,0.001552
21.0,0.001488
21.5,0.006336
22.0,0.032752
22.5,0.001616
23.0,0.0
23.5,0.004784
24.0,0.0
24.5,0.005232
25.0,0.001616
25.5,0.003168
26.0,0.0
26.5,0.004784
27.0,0.0
27.5,0.001616
28.0,0.0
28.5,0.007952
29.0,0.0
29.5,0.001552
30.0,0.0
30.5,0.0
31.0,0.001616
31.5,0.001552
32.0,0.003168
32.5,0.004848
33.0,0.0
33.5,0.0064
34.0,0.0
34.5,0.0
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.001616
38.0,0.0
38.5,0.003168
39.0,0.0
39.5,0.0
40.0,0.0
40.5,0.001616
41.0,0.001552
41.5,0.0128
42.0,0.0
42.5,0.0
43.0,0.0
43.5,0.004784
44.0,0.0
44.5,0.0
45.0,0.0
45.5,0.001616
46.0,0.0
46.5,0.004784
47.0,0.0
47.5,0.0
48.0,0.0
48.5,0.001616
49.0,0.0
49.5,0.001616
50.0,0.0
50.5,0.001616
51.0,0.0
51.5,0.001616
52.0,0.0
52.5,0.001616
53.0,0.0
53.5,0.001616
54.0,0.0
54.5,0.001616
55.0,0.0
55.5,0.003232
56.0,0.0
56.5,0.001616
57.0,0.0
57.5,0.001616
58.0,0.0
58.5,0.001616
59.0,0.0
59.5,0.001616
60.0,0.0
60.5,0.003264
61.0,0.0
61.5,0.001616
62.0,0.0
62.5,0.001616
